Cosine Similarity Matrix for the Document Corpus:

	a1.txt	a10.txt	a2.txt	a3.txt	a4.txt	a5.txt	a6.txt	a7.txt	a8.txt	a9.txt
a1.txt	1.0000	0.1167	0.1721	0.1145	0.1630	0.0917	0.1198	0.1201	0.0879	0.0908
a10.txt	0.1167	1.0000	0.1988	0.1180	0.1495	0.0973	0.1341	0.1130	0.0894	0.0820
a2.txt	0.1721	0.1988	1.0000	0.1813	0.3400	0.1670	0.2024	0.1843	0.1308	0.1324
a3.txt	0.1145	0.1180	0.1813	1.0000	0.1549	0.1047	0.1299	0.1131	0.0992	0.0897
a4.txt	0.1630	0.1495	0.3400	0.1549	1.0000	0.1626	0.1496	0.1566	0.1071	0.1024
a5.txt	0.0917	0.0973	0.1670	0.1047	0.1626	1.0000	0.1186	0.0991	0.0771	0.0679
a6.txt	0.1198	0.1341	0.2024	0.1299	0.1496	0.1186	1.0000	0.1199	0.1021	0.0855
a7.txt	0.1201	0.1130	0.1843	0.1131	0.1566	0.0991	0.1199	1.0000	0.0928	0.0791
a8.txt	0.0879	0.0894	0.1308	0.0992	0.1071	0.0771	0.1021	0.0928	1.0000	0.0646
a9.txt	0.0908	0.0820	0.1324	0.0897	0.1024	0.0679	0.0855	0.0791	0.0646	1.0000
