TF-IDF Features for Each Document:

Document: a1.txt
  Term: gyarados, TF-IDF Score: 0.8655
  Term: pokémon, TF-IDF Score: 0.2735
  Term: magikarp, TF-IDF Score: 0.1815
  Term: red, TF-IDF Score: 0.0929
  Term: flying, TF-IDF Score: 0.0623
  Term: blue, TF-IDF Score: 0.0619
  Term: water, TF-IDF Score: 0.0593
  Term: game, TF-IDF Score: 0.0568
  Term: chinese, TF-IDF Score: 0.0558
  Term: sea, TF-IDF Score: 0.0558
  Term: misty, TF-IDF Score: 0.0497
  Term: team, TF-IDF Score: 0.0464
  Term: player, TF-IDF Score: 0.0450
  Term: type, TF-IDF Score: 0.0450
  Term: rage, TF-IDF Score: 0.0419
  Term: crasher, TF-IDF Score: 0.0419
  Term: evolved, TF-IDF Score: 0.0408
  Term: series, TF-IDF Score: 0.0396
  Term: used, TF-IDF Score: 0.0372
  Term: wake, TF-IDF Score: 0.0356
  Term: lance, TF-IDF Score: 0.0356
  Term: battle, TF-IDF Score: 0.0340
  Term: described, TF-IDF Score: 0.0339
  Term: shiny, TF-IDF Score: 0.0311
  Term: dragon, TF-IDF Score: 0.0311
  Term: later, TF-IDF Score: 0.0310
  Term: appeared, TF-IDF Score: 0.0310
  Term: silver, TF-IDF Score: 0.0283
  Term: appears, TF-IDF Score: 0.0283
  Term: known, TF-IDF Score: 0.0283
  Term: lysandre, TF-IDF Score: 0.0279
  Term: groudon, TF-IDF Score: 0.0279
  Term: candies, TF-IDF Score: 0.0279
  Term: lake, TF-IDF Score: 0.0279
  Term: dramatic, TF-IDF Score: 0.0279
  Term: swimming, TF-IDF Score: 0.0279
  Term: dragons, TF-IDF Score: 0.0279
  Term: bounce, TF-IDF Score: 0.0279
  Term: traded, TF-IDF Score: 0.0279
  Term: nurse, TF-IDF Score: 0.0279
  Term: destroyed, TF-IDF Score: 0.0279
  Term: worked, TF-IDF Score: 0.0279
  Term: temper, TF-IDF Score: 0.0279
  Term: generally, TF-IDF Score: 0.0277
  Term: ign, TF-IDF Score: 0.0258
  Term: called, TF-IDF Score: 0.0258
  Term: games, TF-IDF Score: 0.0258
  Term: gym, TF-IDF Score: 0.0249
  Term: mega, TF-IDF Score: 0.0249
  Term: evolve, TF-IDF Score: 0.0249
  Term: featured, TF-IDF Score: 0.0249
  Term: trainers, TF-IDF Score: 0.0249
  Term: times, TF-IDF Score: 0.0249
  Term: obtaining, TF-IDF Score: 0.0237
  Term: surge, TF-IDF Score: 0.0237
  Term: lt, TF-IDF Score: 0.0237
  Term: 400, TF-IDF Score: 0.0237
  Term: gaining, TF-IDF Score: 0.0237
  Term: destructive, TF-IDF Score: 0.0237
  Term: joy, TF-IDF Score: 0.0237
  Term: calm, TF-IDF Score: 0.0237
  Term: fierce, TF-IDF Score: 0.0237
  Term: evolution, TF-IDF Score: 0.0226
  Term: card, TF-IDF Score: 0.0225
  Term: owns, TF-IDF Score: 0.0208
  Term: explorers, TF-IDF Score: 0.0208
  Term: rescue, TF-IDF Score: 0.0208
  Term: figurines, TF-IDF Score: 0.0208
  Term: frenzy, TF-IDF Score: 0.0208
  Term: various, TF-IDF Score: 0.0206
  Term: rocket, TF-IDF Score: 0.0204
  Term: large, TF-IDF Score: 0.0204
  Term: trading, TF-IDF Score: 0.0204
  Term: form, TF-IDF Score: 0.0204
  Term: author, TF-IDF Score: 0.0186
  Term: best, TF-IDF Score: 0.0186
  Term: white, TF-IDF Score: 0.0186
  Term: including, TF-IDF Score: 0.0186
  Term: species, TF-IDF Score: 0.0186
  Term: wrote, TF-IDF Score: 0.0185
  Term: yellow, TF-IDF Score: 0.0185
  Term: moves, TF-IDF Score: 0.0185
  Term: plush, TF-IDF Score: 0.0185
  Term: owned, TF-IDF Score: 0.0185
  Term: japanese, TF-IDF Score: 0.0170
  Term: green, TF-IDF Score: 0.0170
  Term: leader, TF-IDF Score: 0.0166
  Term: returns, TF-IDF Score: 0.0166
  Term: ownership, TF-IDF Score: 0.0166
  Term: city, TF-IDF Score: 0.0166
  Term: learn, TF-IDF Score: 0.0166
  Term: powerful, TF-IDF Score: 0.0166
  Term: toys, TF-IDF Score: 0.0166
  Term: forms, TF-IDF Score: 0.0166
  Term: positive, TF-IDF Score: 0.0166
  Term: appear, TF-IDF Score: 0.0166
  Term: appearances, TF-IDF Score: 0.0155
  Term: appearance, TF-IDF Score: 0.0155
  Term: generation, TF-IDF Score: 0.0155
  Term: reception, TF-IDF Score: 0.0155
  Term: anime, TF-IDF Score: 0.0155
  Term: merchandise, TF-IDF Score: 0.0155
  Term: video, TF-IDF Score: 0.0155
  Term: crystal, TF-IDF Score: 0.0150
  Term: experience, TF-IDF Score: 0.0150
  Term: originally, TF-IDF Score: 0.0150
  Term: worthiness, TF-IDF Score: 0.0140
  Term: difficulty, TF-IDF Score: 0.0140
  Term: iteration, TF-IDF Score: 0.0140
  Term: laughing, TF-IDF Score: 0.0140
  Term: toted, TF-IDF Score: 0.0140
  Term: tribulations, TF-IDF Score: 0.0140
  Term: trials, TF-IDF Score: 0.0140
  Term: epitomizes, TF-IDF Score: 0.0140
  Term: sam, TF-IDF Score: 0.0140
  Term: 11th, TF-IDF Score: 0.0140
  Term: tracy, TF-IDF Score: 0.0140
  Term: balls, TF-IDF Score: 0.0140
